Wire_ID,From_Device,From_Terminal,To_Device,To_Terminal,Signal_Name,Cable_Type,Color
W001,PS1,+24V,X1,1,+24V → 1,H07V-K,Red
W002,PS1,0V,X1,2,0V → 2,H07V-K,Black
W003,PS1,PE,X6,1,PE → 1,H07V-K,Green/Yellow
W004,X1,3,U2,+24V,3 → +24V,H07V-K,Red
W005,X1,4,U2,0V,4 → 0V,H07V-K,Black
W006,X6,2,U2,PE,2 → PE,H07V-K,Green/Yellow
W007,X1,5,U3,V+,5 → V+,H07V-K,Red
W008,X1,6,U3,0V,6 → 0V,H07V-K,Black
W009,X6,3,U3,PE,3 → PE,H07V-K,Green/Yellow
W010,U1,CN1 (EtherCAT),X2,RJ45,CN1 (EtherCAT) → RJ45,CAT6 SF/UTP,Blue
W011,X2,RJ45,U3,ECAT IN,RJ45 → ECAT IN,CAT6 SF/UTP,Blue
W012,U1,CN3 (Ethernet),X3,RJ45,CN3 (Ethernet) → RJ45,CAT5e UTP,Gray
W013,X3,RJ45,U2,ETH,RJ45 → ETH,CAT5e UTP,Gray
W014,X4,1,X1,7,1 → 7,H07V-K,Green
W015,U4,DI_0,X4,2,DI_0 → 2,H07V-K,Blue
W016,X4,3,X1,7,3 → 7,H07V-K,Green
W017,U4,DI_1,X4,4,DI_1 → 4,H07V-K,Blue
W018,X4,5,X1,8,5 → 8,H07V-K,Yellow
W019,U4,DI_2,X4,6,DI_2 → 6,H07V-K,Blue
W020,X4,7,X1,7,7 → 7,H07V-K,Green
W021,U4,DI_3,X4,8,DI_3 → 8,H07V-K,Blue
W022,U5,DO_0,X5,1,DO_0 → 1,H07V-K,Green
W023,X5,2,X1,7,2 → 7,H07V-K,Green
W024,U5,DO_1,X5,3,DO_1 → 3,H07V-K,Red
W025,X5,4,X1,7,4 → 7,H07V-K,Red
