Wire_ID,Source_Device,Source_Terminal,Target_Device,Target_Terminal,Cable_Type,Cross_Section_mm2,Color,Length_m
W001,PS1,+24V,X1,1,H07V-K,2.5,Red,20
W002,PS1,0V,X1,2,H07V-K,2.5,Black,20
W003,PS1,PE,X6,1,H07V-K,4.0,Green/Yellow,20
W004,X1,3,U2,+24V,H07V-K,1.5,Red,0.5
W005,X1,4,U2,0V,H07V-K,1.5,Black,0.5
W006,X6,2,U2,PE,H07V-K,1.5,Green/Yellow,0.5
W007,X1,5,U3,V+,H07V-K,1.5,Red,0.3
W008,X1,6,U3,0V,H07V-K,1.5,Black,0.3
W009,X6,3,U3,PE,H07V-K,1.5,Green/Yellow,0.3
W010,U1,CN1 (EtherCAT),X2,RJ45,CAT6 SF/UTP,0.14,Blue,20
W011,X2,RJ45,U3,ECAT IN,CAT6 SF/UTP,0.14,Blue,0.5
W012,U1,CN3 (Ethernet),X3,RJ45,CAT5e UTP,0.14,Gray,20
W013,X3,RJ45,U2,ETH,CAT5e UTP,0.14,Gray,0.5
W014,X4,1,X1,7,H07V-K,0.5,Green,0.5
W015,U4,DI_0,X4,2,H07V-K,0.5,Blue,0.3
W016,X4,3,X1,7,H07V-K,0.5,Green,0.5
W017,U4,DI_1,X4,4,H07V-K,0.5,Blue,0.3
W018,X4,5,X1,8,H07V-K,0.5,Yellow,0.5
W019,U4,DI_2,X4,6,H07V-K,0.5,Blue,0.3
W020,X4,7,X1,7,H07V-K,0.5,Green,0.5
W021,U4,DI_3,X4,8,H07V-K,0.5,Blue,0.3
W022,U5,DO_0,X5,1,H07V-K,0.5,Green,0.3
W023,X5,2,X1,7,H07V-K,0.5,Green,0.5
W024,U5,DO_1,X5,3,H07V-K,0.5,Red,0.3
W025,X5,4,X1,7,H07V-K,0.5,Red,0.5
